ID;EVENT;TIME;COST;PATH;LENGTH;SERVICES;CHOSEN
U_M881;DEPARTURE;06:30:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_B196;DEPARTURE;06:30:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M503;DEPARTURE;06:31:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M1356;DEPARTURE;06:31:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_B271;DEPARTURE;06:31:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M1354;DEPARTURE;06:31:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_B48;DEPARTURE;06:32:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M621;DEPARTURE;06:32:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M716;DEPARTURE;06:32:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_B270;DEPARTURE;06:33:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M240;DEPARTURE;06:33:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_B315;DEPARTURE;06:33:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M1238;DEPARTURE;06:34:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M561;DEPARTURE;06:34:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
