ID;EVENT;TIME;COST;PATH;LENGTH;SERVICES;CHOSEN
U_B783;DEPARTURE;06:30:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M201;DEPARTURE;06:30:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M763;DEPARTURE;06:31:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_B977;DEPARTURE;06:31:00.00;941.0951619838993;ORIGIN_0 TRAM_SO TRAM_S1 TRAM_S2 TRAM_S3 TRAM_S4 DESTINATION_1;3000.0;WALK TRAM WALK;1
U_B530;DEPARTURE;06:31:00.00;941.0951619838993;ORIGIN_0 TRAM_SO TRAM_S1 TRAM_S2 TRAM_S3 TRAM_S4 DESTINATION_1;3000.0;WALK TRAM WALK;1
U_M484;DEPARTURE;06:31:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M524;DEPARTURE;06:31:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M275;DEPARTURE;06:31:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M749;DEPARTURE;06:32:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_B636;DEPARTURE;06:32:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M942;DEPARTURE;06:32:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M80;DEPARTURE;06:32:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M317;DEPARTURE;06:32:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M376;DEPARTURE;06:32:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_B582;DEPARTURE;06:33:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
U_M921;DEPARTURE;06:33:00.00;790.7170294494238;ORIGIN_0 METRO_SO METRO_S2 METRO_S4 DESTINATION_1;3000.0;WALK METRO WALK;1
